rank,sc,t_start,t_end,duration_days,event_cost,cost_share_cross
278,28,1001,1015,0.62,3422.37,0.017
279,16,8415,8454,1.67,3421.87,0.017
280,59,509,522,0.58,3421.03,0.017
281,58,5798,5799,0.08,3405.07,0.0169
282,16,5079,5126,2.0,3388.73,0.0168
283,47,1279,1320,1.75,3379.67,0.0168
284,19,8655,8671,0.71,3371.84,0.0167
285,14,4190,4237,2.0,3313.89,0.0165
286,27,712,718,0.29,3249.74,0.0161
287,13,4260,4285,1.08,3249.12,0.0161
288,57,4935,4959,1.04,3220.91,0.016
289,32,5558,5629,3.0,3217.41,0.016
290,2,4046,4094,2.04,3185.71,0.0158
291,7,5966,5989,1.0,3169.7,0.0157
292,15,5751,5797,1.96,3161.76,0.0157
293,41,256,266,0.46,3134.15,0.0156
294,24,3638,3686,2.04,3119.7,0.0155
